,ID,Thread,Port,Event,Index,cstruct
525,r526,T1,9688008,recv,4,"['r3', 's63', 's1', 's19', 's54', 'r155', 's45', 'r158', 's10', 's28', 's9', 's36', 's27', 's18', 's37']"
526,r527,T4,9688008,recv,4,"['s29', 's38', 's20', 's11', 's2', 's56', 's65', 's18', 'r294', 's47', 'r9', 's9', 's27', 'r73']"
527,r528,T1,9688008,recv,5,"['r3', 's63', 's1', 's19', 's54', 'r155', 's45', 's28', 's10', 'r158', 's9', 's36', 's27', 'r526', 's18', 's37']"
528,r529,T2,9688008,recv,5,"['s38', 's29', 's20', 's11', 's2', 'r271', 'r274', 'r104', 's47', 'r4']"
529,r530,T4,9688008,recv,5,"['s38', 's29', 's20', 's11', 's2', 'r73', 's56', 's65', 's18', 'r294', 's47', 'r9', 's9', 's36', 's27', 'r527']"
530,r531,T1,9688008,recv,6,"['r3', 's63', 's1', 's9', 's19', 's54', 'r155', 's45', 's28', 'r528', 's10', 'r158', 's3', 's36', 's27', 'r526', 's18', 's37']"
531,r532,T2,9688008,recv,6,"['s38', 's29', 's20', 's11', 's1', 's2', 's46', 'r271', 's19', 'r274', 'r104', 'r529', 's47', 's28', 's10', 'r4', 's55', 's37']"
532,r533,T1,9688008,recv,7,"['r3', 'r155', 's45', 's10', 's36', 's27', 's54', 's28', 'r531', 'r528', 's3', 'r526', 's37', 's63', 's19', 'r158', 's1', 's9', 's18']"
533,r534,T2,9688008,recv,7,"['s38', 's29', 'r532', 's46', 's10', 'r4', 's20', 'r529', 's47', 's28', 's55', 's64', 's37', 's2', 'r271', 's19', 'r274', 's11', 's1', 'r104']"
534,r535,T4,9688008,recv,6,"['s38', 's29', 's20', 'r527', 's11', 's2', 'r73', 's56', 's65', 'r530', 'r294', 's45', 's47', 'r9', 's9', 's36', 's27', 's18']"
535,r536,T1,9688008,recv,8,"['r3', 's46', 'r155', 's45', 's10', 's36', 's27', 's54', 's28', 'r531', 'r528', 's3', 'r526', 's37', 's63', 's19', 'r158', 's1', 'r533', 's9', 's18']"
536,r537,T2,9688008,recv,8,"['s38', 's29', 'r532', 's46', 's10', 'r4', 's20', 'r529', 's47', 's28', 's55', 's64', 's37', 'r534', 's2', 'r271', 's19', 'r274', 's11', 's1', 'r104']"
537,r538,T4,9688008,recv,7,"['s38', 's29', 'r294', 's45', 's36', 's27', 's20', 's56', 'r530', 's47', 'r73', 's2', 's65', 'r535', 'r527', 's11', 'r9', 's9', 's18']"
538,r539,T1,9688008,recv,4,"['r3', 's1', 's46', 's19', 's54', 'r189', 'r186', 's45', 's27', 's10', 's28', 's36', 's9', 's18', 's37']"
539,r540,T2,9688008,recv,4,"['s29', 's38', 's20', 's11', 's2', 'r70', 'r190', 's47', 'r4']"
540,r541,T1,9688008,recv,5,"['r3', 's1', 's46', 's19', 's54', 'r189', 'r186', 's45', 's28', 's10', 's27', 's36', 's9', 'r539', 's18', 's37']"
541,r542,T2,9688008,recv,5,"['s29', 's38', 's20', 's11', 's1', 's2', 's46', 'r70', 'r190', 's19', 'r540', 's47', 's28', 's10', 'r4', 's55', 's64', 's37']"
542,r543,T1,9688008,recv,6,"['r3', 's1', 's46', 'r541', 's19', 's54', 'r189', 'r186', 's45', 's28', 's10', 's27', 's36', 's9', 'r539', 's18', 's37']"
543,r544,T2,9688008,recv,6,"['s38', 's29', 's46', 'r540', 's10', 'r4', 's20', 'r542', 'r190', 's47', 's28', 's55', 's64', 's37', 's2', 's19', 's11', 's1', 'r70']"
544,r545,T1,9688008,recv,7,"['r3', 's46', 's45', 's10', 's36', 's27', 'r539', 's54', 's28', 's3', 's37', 'r541', 's19', 'r186', 'r189', 's1', 'r543', 's9', 's18']"
545,r546,T2,9688008,recv,7,"['s38', 's29', 'r544', 's46', 'r540', 's10', 'r4', 's20', 'r542', 'r190', 's47', 's28', 's55', 's64', 's37', 's2', 's19', 's11', 's1', 'r70']"
546,r547,T1,9688008,recv,8,"['r3', 'r545', 's46', 's45', 's10', 's36', 's27', 'r539', 's54', 's28', 's3', 's37', 'r541', 's19', 'r186', 'r189', 's1', 'r543', 's9', 's18']"
547,r548,T2,9688008,recv,8,"['s38', 's29', 'r546', 'r544', 's46', 'r540', 's10', 'r4', 's20', 'r542', 'r190', 's47', 's28', 's55', 's64', 's37', 's2', 's19', 's11', 's1', 'r70', 's4']"
548,r549,T3,9688008,recv,2,"['s21', 's30', 's12', 's3', 'r1']"
549,r550,T3,9688008,recv,3,"['s21', 's30', 'r549', 's12', 's3', 'r1']"
550,r551,T1,9688008,recv,4,"['r3', 's1', 's19', 's3', 's28', 's10', 'r133', 'r130']"
551,r552,T2,9688008,recv,4,"['s29', 's20', 's11', 's2', 'r70', 's4', 'r332', 'r4']"
552,r553,T3,9688008,recv,4,"['s21', 'r550', 's30', 'r549', 's12', 's3', 'r1']"
553,r554,T4,9688008,recv,4,"['s38', 's29', 's20', 's11', 'r18', 'r27', 's2', 's56', 's65', 's47', 'r9', 's9', 's18']"
554,r555,T1,9688008,recv,5,"['r3', 's1', 's19', 's3', 's28', 's10', 'r133', 'r130', 'r551', 's37']"
555,r556,T2,9688008,recv,5,"['s38', 's29', 's20', 's11', 's2', 'r70', 's4', 'r332', 'r4', 'r552']"
556,r557,T3,9688008,recv,5,"['s21', 'r550', 's1', 's30', 's3', 'r549', 's12', 'r553', 'r1']"
557,r558,T4,9688008,recv,5,"['s29', 's38', 's20', 's11', 'r18', 's2', 'r27', 's56', 's65', 's47', 'r9', 'r554', 's9', 's18']"
558,r559,T1,9688008,recv,6,"['r3', 's1', 's46', 's19', 's3', 's28', 's10', 'r133', 'r130', 'r551', 's37', 'r555']"
559,r560,T2,9688008,recv,6,"['s38', 's29', 's20', 's11', 'r556', 's1', 's2', 's46', 'r70', 's19', 's4', 'r332', 's28', 's10', 'r4', 's55', 'r552', 's37']"
560,r561,T3,9688008,recv,6,"['s21', 's39', 'r550', 's1', 's30', 'r549', 'r553', 'r557', 's12', 's3', 'r1']"
561,r562,T1,9688008,recv,7,"['r3', 's46', 's45', 's10', 'r133', 's36', 'r551', 's27', 's54', 's28', 's3', 's37', 's19', 'r555', 'r559', 's1', 'r130', 's9', 's18']"
562,r563,T2,9688008,recv,7,"['s38', 's29', 's46', 's10', 'r4', 's20', 'r560', 's47', 's28', 's55', 'r552', 's37', 'r556', 's2', 's19', 's11', 's1', 'r70', 's4', 'r332']"
563,r564,T4,9688008,recv,6,"['s38', 's29', 's20', 's11', 'r18', 's2', 'r27', 's56', 's65', 's45', 's47', 'r9', 's9', 'r554', 's36', 's27', 'r558', 's18']"
564,r565,T3,9688008,recv,7,"['s21', 's39', 'r550', 's1', 's30', 'r549', 'r561', 'r553', 'r557', 's12', 's3', 'r1', 's48']"
565,r566,T1,9688008,recv,8,"['r3', 's46', 's45', 's10', 'r133', 's36', 'r551', 's27', 'r562', 's54', 's28', 's3', 's37', 's19', 'r555', 'r559', 's1', 'r130', 's9', 's18']"
566,r567,T2,9688008,recv,8,"['s38', 's29', 'r563', 's46', 's10', 'r4', 's20', 'r560', 's47', 's28', 's55', 'r552', 's37', 'r556', 's2', 's19', 's11', 's1', 'r70', 's4', 'r332']"
567,r568,T4,9688008,recv,7,"['s38', 's29', 'r18', 's45', 'r554', 's36', 's27', 's20', 'r564', 's56', 's47', 's2', 'r27', 's65', 's11', 'r9', 's9', 'r558', 's18']"
568,r569,T3,9688008,recv,8,"['s21', 's39', 'r550', 's1', 's30', 's57', 'r549', 'r561', 'r553', 'r565', 'r557', 's12', 's3', 'r1', 's48']"
569,r570,T1,9688008,recv,3,"['r3', 's1', 's19', 's54', 'r103', 's45', 's27', 's10', 's36', 's9', 's18']"
570,r571,T4,9688008,recv,3,"['r509', 'r9', 's9', 's36', 's27', 's18']"
571,r572,T1,9688008,recv,4,"['r3', 's1', 's19', 's54', 'r103', 's45', 's27', 's10', 'r570', 's3', 's36', 's9', 's18']"
572,r573,T2,9688008,recv,4,"['s38', 's29', 's20', 's11', 's1', 'r271', 's46', 's2', 's19', 'r104', 's28', 's10', 'r4', 's55', 's37']"
573,r574,T4,9688008,recv,4,"['r571', 's29', 's38', 's20', 's11', 'r509', 's2', 's56', 's47', 'r9', 's9', 's36', 's27', 's18']"
574,r575,T1,9688008,recv,5,"['r3', 's1', 's19', 's54', 'r103', 's45', 'r572', 's10', 's28', 'r570', 's3', 's36', 's27', 's9', 's18']"
575,r576,T2,9688008,recv,5,"['s29', 's38', 's20', 's11', 's2', 'r271', 's1', 's46', 's19', 'r104', 'r573', 's28', 's10', 'r4', 's55', 's37']"
576,r577,T4,9688008,recv,5,"['r571', 's38', 's29', 's20', 's11', 'r509', 's2', 's56', 'r574', 's45', 's47', 'r9', 's9', 's36', 's27', 's18']"
